Movie_Name,URL,Director,Producer,Writer,Casting,Music By,Budget,Box Office
Chocolate: Deep Dark Secrets,https://wikipedia.org/wiki/Chocolate:_Deep_Dark_Secrets,Vivek Agnihotri,"Vibha Bhatnagar
Ragini Sona
Mehmood Ali","Rohit Malhotra
Vivek Agnihotri","Anil Kapoor
Sunil Shetty
Irrfan Khan
Emraan Hashmi
Arshad Warsi
Tanushree Dutta
Emma Bunton
Sushma Reddy",Pritam Chakraborty,,
Tango Charlie,https://wikipedia.org/wiki/Tango_Charlie,Mani Shankar,Nitin Manmohan,Mani Shankar,Ajay DevgnBobby DeolSanjay DuttSuniel ShettyTanishaa MukerjiNandana SenKelly Dorji,Songs:Anand Raaj AnandAnu MalikBackground Score:Ranjit Barot,₹13.5 crore,₹7.16 crore[1]
Apurva,https://wikipedia.org/wiki/Apurva,,,,,,,
Zeher,https://wikipedia.org/wiki/Zeher,Mohit Suri,Mukesh Bhatt,Mahesh BhattDialogues:Jay Dixit,Emraan HashmiShamita ShettyUdita Goswami,Songs:Roop Kumar RathodMithoonAnu MalikNaresh SharmaJal: the Band[1]Background Score:Raju Singh,₹50 million[2],₹110 million[2]
Lafangey Parindey,https://wikipedia.org/wiki/Lafangey_Parindey,Pradeep Sarkar,Aditya Chopra,Gopi Puthran,Neil Nitin MukeshDeepika Padukone,Songs:R. AnandhScore:Zubin Balaporia,,₹227 million (US$2.7 million)[1]
Shagird,https://wikipedia.org/wiki/Shagird_(2011_film),Tigmanshu Dhulia,Hussain ShaikhPurvi Lavingia-Vats,Tigmanshu DhuliaKamal Pandey,Nana PatekarZakir HussainMohit AhlawatRimi SenAnurag Kashyap,Abhishek Ray,,
Tridev,https://wikipedia.org/wiki/Tridev_(1989_film),Rajiv Rai,Gulshan Rai,Arshad ParvezRajiv RaiK.K. Singh,Naseeruddin ShahSunny DeolJackie ShroffMadhuri DixitSangeeta BijlaniSonam RaiAnupam KherAmrish Puri,Kalyanji-AnandjiViju Shah,,₹17 crore (equivalent to ₹182 crore or US$22 million in 2023)[1]
Hello,https://wikipedia.org/wiki/Hello_(2008_film),Atul Agnihotri,Alvira Khan Agnihotri,Chetan Bhagat,Sharman JoshiSohail KhanIsha KoppikarGul PanagAmrita AroraSharat SaxenaArbaaz Khan,Sajid–Wajid,"₹14, crore[1]",₹17.96 crore[1]
Rock on 2,https://wikipedia.org/wiki/Rock_On_2,Shujaat Saudagar,Farhan AkhtarRitesh Sidhwani,Abhishek KapoorPubali Chaudhuri,Arjun RampalFarhan AkhtarShraddha KapoorPurab KohliPrachi DesaiShashank Arora,Shankar–Ehsaan–Loy,₹45 crore (US$5.4 million)[2],₹15.70 crore (US$1.9 million)[3][4]
Makdee,https://wikipedia.org/wiki/Makdee,Vishal Bhardwaj,Vishal Bhardwaj,,Shabana AzmiMakrand DeshpandeShweta Basu Prasad,Vishal Bhardwaj,,
Fool N Final,https://wikipedia.org/wiki/Fool_N_Final,Ahmed Khan,Firoz A Nadiadwala,Abbas HirapurwalaUmesh Shukla,Sunny DeolShahid KapoorVivek OberoiSameera ReddyAyesha TakiaSharmila TagoreOm PuriArbaaz KhanJackie ShroffParesh Rawal,Songs:Himesh ReshammiyaScore:Ranjit Barot,₹24 crore[1],₹27.62 crore[1]
