Movie_Name,URL,Director,Producer,Writer,Casting,Music By,Budget,Box Office
Karzzzz,https://wikipedia.org/wiki/Karzzzz,Satish Kaushik,Bhushan Kumar,,Urmila MatondkarHimesh ReshammiyaShweta KumarDino MoreaGulshan GroverDanny DenzongpaRohini Hattangadi,Songs:Himesh ReshammiyaScore:Ranjit Barot,,
Alag: He Is Different.... He Is Alone...,https://wikipedia.org/wiki/Alag,Ashu Trikha,Subi Samuel,Tagore AlmeidaSanjay MasoomAshu Trikha,Akshay KapoorDia Mirza,Aadesh Shrivastava,₹8 crore[1],₹56 lakh[1]
Jis Desh Mein Ganga Rehta Hain,https://wikipedia.org/wiki/Jis_Desh_Mein_Ganga_Rehta_Hain,Mahesh Manjrekar,Jackie ShroffAyesha Shroff,Mahesh Manjrekar,GovindaSonali BendreRinke Khanna,Anand Raj Anand,,
2024-12-16 00:00:00,https://wikipedia.org/wiki/16_December_(2002_film),Mani Shankar,Anjali Joshi Arunima RoyiDream Production,Mani Shankar,Danny DenzongpaGulshan GroverMilind SomanDipannita SharmaSushant SinghAditi Govitrikar,Karthik Raja,,
Samrat and Co.,https://wikipedia.org/wiki/Samrat_and_Co.,,,,,,,
Yeh Majhdhaar,https://wikipedia.org/wiki/Yeh_Majhdhaar,,,,,,,
Yamla Pagla Deewana Phir Se,https://wikipedia.org/wiki/Yamla_Pagla_Deewana_Phir_Se,Navaniat Singh,Kamayani Punia SharmaAarushi Malhotra,Bunty Rathore(Dialogue),DharmendraSunny DeolBobby DeolKriti KharbandaBinnu DhillonAsraniSatish Kaushik,Songs:Sanjeev–DarshanSachet–ParamparaVishal MishraD SoldierzScore:Raju Singh,₹36 crore[1],₹15 crore[2]
Nasha,https://wikipedia.org/wiki/Nasha_(2013_film),,,,,,,
Road,https://wikipedia.org/wiki/Road_(2002_film),Rajat Mukherjee,Ram Gopal Varma,Rajnish Thakur,Manoj BajpayeeVivek OberoiAntara Mali,Sandesh ShandilyaAmar MohileNitin Raikwar (Background score),,
Netaji Subhas Chandra Bose: The Forgotten Hero,https://wikipedia.org/wiki/Netaji_Subhas_Chandra_Bose:_The_Forgotten_Hero,Shyam Benegal,Raj PiusBarbara von Wrangell,Atul TiwariShama Zaidi,Sachin KhedekarKulbhushan KharbandaRajit KapurDivya DuttaArif Zakaria,A. R. Rahman,₹4 crore[1],₹1.25 crore[2]
Saare Jahaan Se Mehnga,https://wikipedia.org/wiki/Saare_Jahaan_Se_Mehnga,Anshul Sharma,Ashok Pandey,Roopesh ThapliyalVijay Manral,Sanjay MishraPragati PandeyZakir HussainVishwa Mohan Badola,Manish J. Tipu,₹5 crore,₹84 lakh
Aa Bhi Ja O Piya,https://wikipedia.org/wiki/Aa_Bhi_Ja_O_Piya,,,,,,,
Khandaani Shafakhana,https://wikipedia.org/wiki/Khandaani_Shafakhana,Shilpi Dasgupta,Bhushan KumarMahaveer JainMrighdeep Singh LambaDivya Khosla KumarKrishan Kumar,Gautam Mehra,Sonakshi SinhaVarun SharmaAnnu KapoorBadshah,Songs:Tanishk BagchiRochak KohliBadshahPayal DevScore:Abhishek Nailwal,₹24 crore[2],est. ₹3.98 crore[3]
Amma Ki Boli,https://wikipedia.org/wiki/Amma_Ki_Boli,,,,,,,
Operation Romeo,https://wikipedia.org/wiki/Operation_Romeo,,,,,,,
Naksha,https://wikipedia.org/wiki/Naksha,Sachin Bajaj,Akshay Bajaj,Milap ZaveriTushar Hiranandani,Sunny DeolVivek OberoiSameera ReddyJackie Shroff,Pritam,,
Aashayein,https://wikipedia.org/wiki/Aashayein,Nagesh Kukunoor,Percept Picture CompanyT-Series,Nagesh Kukunoor,John AbrahamSonal SehgalPrateeksha LonkarGirish KarnadFarida JalalAshwin ChitaleAnaitha Nair,PritamShiraz UppalSalim–Sulaiman,,"₹22.0 million (US$260,000)[1]"
Bade Dilwala,https://wikipedia.org/wiki/Bade_Dilwala,Shakeel Noorani,Shakeel Noorani,Shakeel Noorani,Sunil ShettyPriya Gill,Aadesh Shrivastava,,
Katha,https://wikipedia.org/wiki/Katha,,,,,,,
Baton Baton Mein,https://wikipedia.org/wiki/Baton_Baton_Mein,Basu Chatterjee,Basu Chatterjee,C J Pavri,Amol PalekarTina AmbaniPearl Padamsee,Rajesh Roshan,,
The Hungry,https://wikipedia.org/wiki/The_Hungry_(2017_film),,,,,,,
Haathi Mere Saathi,https://wikipedia.org/wiki/Haathi_Mere_Saathi,,,,,,,
Sainik,https://wikipedia.org/wiki/Sainik,Sikandar Bharti,Jimmy Nirula,Madan Joshi Dharam Veer Ram,Akshay KumarAshwini BhaveRonit RoyFarheen,Nadeem Shravan,,
Firangi,https://wikipedia.org/wiki/Firangi,Rajiev Dhingra,Kapil Sharma,Balwinder Singh JanjuaRupinder Chahal,Kapil Sharma Ishita DuttaMonica GillInaamulhaq,Jatinder Shah,₹25 crore[6],est. ₹10–17 crore[6][7]
Mujhe Kucch Kehna Hai,https://wikipedia.org/wiki/Mujhe_Kucch_Kehna_Hai,Satish Kaushik,Vashu Bhagnani,,Tusshar KapoorKareena KapoorRinke Khanna,Anu MalikVishal-Shekhar,,
Teesri Manzil,https://wikipedia.org/wiki/Teesri_Manzil,Vijay Anand,Nasir Hussain,Nasir Hussain,Shammi KapoorAsha ParekhHelenPremnathIftekharPrem Chopra,R. D. Burman,,
Ghulam-E-Musthafa,https://wikipedia.org/wiki/Ghulam-E-Musthafa,Partho Ghosh,P.G. Shrikanth  Dinesh Gandhi,,Nana PatekarRaveena Tandon,Amar Haldipur  Rajesh Roshan,"₹5.5 million (US$66,000)","₹14.5 million (US$170,000)"
Chor Machaaye Shor,https://wikipedia.org/wiki/Chor_Machaaye_Shor,David Dhawan,Sanjiv TolaniRajiv Tolani[1],Anwar Khan (dialogues),Bobby DeolShilpa ShettyBipasha BasuParesh RawalOm Puri,Anu Malik,₹8.50 crore[2],₹13.62 crore[2]
Barah Aana,https://wikipedia.org/wiki/Barah_Aana,Raja Krishna Menon,Raj YerasiGiulia AchilliRaja Krishna Menon,Story and Dialogues: Raja Krishna MenonScreenplay:Raj Kumar Gupta,Naseeruddin ShahVijay RaazArjun MathurTannishtha Chatterjee,,4.5 crore[1],0.82 crore[1]
C Kkompany,https://wikipedia.org/wiki/C_Kkompany,Sachin Yardi,Ekta KapoorShobha Kapoor,Sachin Yardi,Tusshar KapoorAnupam KherRajpal YadavRaima SenMithun Chakraborty,"Songs:Bappi Lahiri, Anand Raj Anand,Background Score:Sandeep Shirodkar",,
In the Shadows,https://wikipedia.org/wiki/In_the_Shadows_(2017_film),Dipesh Jain,Dipesh JainShuchi Jain,,Manoj BajpayeeRanvir ShoreyNeeraj KabiShahana Goswami,Dana Niu,,
Maa Tujhhe Salaam,https://wikipedia.org/wiki/Maa_Tujhhe_Salaam,,,,,,,
Ek Ladka Ek Ladki,https://wikipedia.org/wiki/Ek_Ladka_Ek_Ladki,Vijay Sadanah,D.D.Yande,Saleem Agha,Salman KhanNeelamAnupam Kher,Anand–Milind,,est. ₹1.8 crore (equivalent to ₹14 crore or US$1.7 million in 2023)[1]
Dil Kya Kare,https://wikipedia.org/wiki/Dil_Kya_Kare,Prakash Jha,Veeru DevganVeena Devgan,,Ajay DevgnKajolMahima ChaudhryChandrachur Singh,Jatin–Lalit,₹9 crore[1],₹19.69 crore[1]
Naya Daur,https://wikipedia.org/wiki/Naya_Daur,,,,,,,
Do Knot Disturb,https://wikipedia.org/wiki/Do_Knot_Disturb,David Dhawan,Vashu Bhagnani,,GovindaSushmita SenLara DuttaRitesh DeshmukhSohail KhanRajpal Yadav,Songs:Nadeem-ShravanBackground Score:Surinder Sodhi,,
D,https://wikipedia.org/wiki/D_(film),Vishram Sawant,Ronnie ScrewvalaRam Gopal Varma,Ram Gopal VarmaManish Gupta,Randeep HoodaChunky PandeyRukhsar RehmanIsha KoppikarYashpal SharmaSushant SinghGoga KapoorIshrat AliNagesh Bhonsle,Prasanna ShekharNitin Raikwar,est. ₹6.5 crore[1],est. ₹8.5 crore[1]
Nadiya Ke Paar,https://wikipedia.org/wiki/Nadiya_Ke_Paar,,,,,,,
Ek Duuje Ke Liye,https://wikipedia.org/wiki/Ek_Duuje_Ke_Liye,K. Balachander,L. V. Prasad,K. Balachander (original story & screenplay)Inder Raj Anand (dialogues),Kamal HaasanRati AgnihotriMadhavi,Laxmikant–Pyarelal,"₹50 lakh (US$60,000)",₹10 crore (US$1.2 million)[1]
Woh Kaun Thi?,https://wikipedia.org/wiki/Woh_Kaun_Thi%3F,Raj Khosla,N. N. SippyM. A. Madhu (exec.),Dhruva Chatterjee (dialogues),SadhanaManoj KumarK.N. SinghHelenPrem Chopra,Madan MohanRaja Mehdi Ali Khan (lyrics),,
Joru Ka Ghulam,https://wikipedia.org/wiki/Joru_Ka_Ghulam,Shakeel Noorani,Shakeel Noorani,Ikram Akhtar,Govinda Twinkle Khanna Kader Khan Johnny Lever Ali Asgar,Aadesh Shrivastava,"est. ₹5.5 crore (US$660,000)[1]",est. ₹13.10 crore (US$1.6 million)[1]
Keemat: They Are Back,https://wikipedia.org/wiki/Keemat:_They_Are_Back,Sameer Malkan,Ganesh JainRamesh Jain,,Akshay KumarSaif Ali KhanRaveena TandonSonali Bendre,Rajesh Roshan,,
Pal Pal Dil Ke Paas,https://wikipedia.org/wiki/Pal_Pal_Dil_Ke_Paas,Sunny Deol,Zee StudiosSunny Sounds Pvt Ltd,Dialogues:Jasvinder Singh BathRavi Shankaran,Karan Deol  Sahher Bambba  Aakash Ahuja,Songs:Sachet–ParamparaTanishk BagchiScore:Raju Singh,₹30 crore[3],est.₹10 crore[4]
Badnaam Gali,https://wikipedia.org/wiki/Badnaam_Gali,Ashwin Shetty,,,"Patralekha Paul
Divyendu Sharma",,,
The Killer,https://wikipedia.org/wiki/The_Killer_(2006_film),Hasnain Hyderabadwala Raksha Mistry,Mukesh Bhatt,Sanjay Masoom (dialogues),Emraan HashmiIrrfan KhanNisha Kothari,Sajid–Wajid,₹72 million,₹65 million
Aankh Micholi,https://wikipedia.org/wiki/Aankh_Micholi,Ramanna,,,Rakesh RoshanBharathi,,,
Rautu Ka Raaz,https://wikipedia.org/wiki/Rautu_Ka_Raaz,Anand Surapur,Zee StudiosUmesh Kr Bansal Anand Surapur Chintu Srivastava,Anand SurapurShariq Patel,"Nawazuddin Siddiqui
Narayani Shastri
Rajesh Kumar
Atul Tiwari",Sneha KhanwalkarZeb Bangash,,
Dillagi,https://wikipedia.org/wiki/Dillagi_(1978_film),Basu Chatterjee,"Bikram Singh Dehal,Kanwar Ajit Singh",Basu Chatterjee,DharmendraHema Malini,Rajesh RoshanYogesh (lyrics),,
Helicopter Eela,https://wikipedia.org/wiki/Helicopter_Eela,Pradeep Sarkar,Ajay DevgnJayantilal GadaAksshay Jayantilal Gada,Mitesh Shah (Dialogue),KajolRiddhi Sen,Songs:Amit TrivediAnu MalikRaghav SacharDaniel B. GeorgeBackground Score:Daniel B. George,₹20 crores[4],₹8.24 crores[5]
Children of War,https://wikipedia.org/wiki/Children_of_War,,,,,,,
Maine Dil Tujhko Diya,https://wikipedia.org/wiki/Maine_Dil_Tujhko_Diya,Sohail Khan,Sohail KhanBunty Walia,,Sohail KhanSanjay DuttSameera ReddyKabir Bedi,Dabboo Malik,,
Patthar Ke Phool,https://wikipedia.org/wiki/Patthar_Ke_Phool,Anant Balani,G. P. Sippy,Salim Khan,Salman KhanRaveena TandonKiran KumarReema Lagoo  Vinod Mehra,Raamlaxman,,
Woh 7 Din,https://wikipedia.org/wiki/Woh_7_Din,Bapu,Surinder KapoorBoney Kapoor,Jainendra Jain (dialogue),Anil KapoorPadmini KolhapureNaseeruddin Shah,Laxmikant–Pyarelal,,
Kareeb,https://wikipedia.org/wiki/Kareeb,Vidhu Vinod Chopra,Vidhu Vinod ChopraVir Chopra,Kamna ChandraAbhijat Joshi,Bobby DeolShabana RazaMoushmi Chatterji,Anu Malik,₹6.50 crore[1],₹12.93 crore[1]
Ae Watan Mere Watan,https://wikipedia.org/wiki/Ae_Watan_Mere_Watan,Kannan Iyer,"Karan Johar
Apoorva Mehta
Somen Mishra",Darab FarooquiKannan Iyer,Sara Ali KhanAnand TiwariSachin Khedekar,"Mukund Suryawanshi
Akashdeep Sengupta
Shashi Suman",,
Bombay to Goa,https://wikipedia.org/wiki/Bombay_to_Goa,,,,,,,
Ajmer 92,https://wikipedia.org/wiki/Ajmer_92,Pushpendra Singh,Umesh Kumar Tiwari[1],Suraj Pal RajakGyanendra Pratap Singh Pushpendra Singh,"Karan Verma
Sumit Singh
Rajesh Sharma
Zarina Wahab
Brijendra Kala
Manoj Joshi
Sayaji Shinde",Parthasakha Daskabi,,
Yeshwant,https://wikipedia.org/wiki/Yeshwant,Anil Matto,Narottam. V. PurohitVijay K. Ranglani,Anil MattooHriday Lani,Nana PatekarMadhooAtul Agnihotri Mohan JoshiShafi Inamdar,Anand–Milind,₹5.75 crore[1],₹19.10 crore[2]
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,https://wikipedia.org/wiki/Mission_Istaanbul,Apoorva Lakhia,Ekta KapoorShobha KapoorSuniel ShettyShabbir Boxwala,,Vivek OberoiShriya SaranZayed KhanShabir AhluwaliaSuniel ShettyNikitin Dheer,Shamir TandonHamza FarooquiChirantan BhattAnu MalikMika Singh,,
Angrezi Mein Kehte Hain,https://wikipedia.org/wiki/Angrezi_Mein_Kehte_Hain,,,,,,,
Jungle,https://wikipedia.org/wiki/Jungle_(2000_film),Ram Gopal Varma,Ram Gopal Varma,Jaideep Sahni,Sunil Shetty Fardeen KhanUrmila MatondkarMakrand DeshpandeSushant SinghHimanshu Malik,Sandeep Chowta,est. ₹4.75 crore[1],est. ₹14.34 crore[1]
Ramji Londonwaley,https://wikipedia.org/wiki/Ramji_Londonwaley,Sanjay Dayma,Sunanda Murali Manohar,,R. MadhavanSamita Bangargi,Vishal BhardwajPravin Mani,₹4 crore[1],₹ 2.95 crore[1]
Satellite Shankar,https://wikipedia.org/wiki/Satellite_Shankar,Irfan Kamal,Murad KhetaniAshwin Varde,Irfan KamalVishal Vijay Kumar,Sooraj PancholiMegha Akash,Score:Sandeep ShirodkarSongs:MithoonRochak KohliTanishk BagchiSandeep Shirodkar,est. ₹20 crore[3],est. ₹54 lakh[4]
Sapoot,https://wikipedia.org/wiki/Sapoot,Jagdish A. Sharma,Jaidev Thackeray(presenter)Rajan SharmaSatyan Sharma,,Akshay KumarSunil ShettySonali BendreKarisma Kapoor,Anu Malik,₹6.50 crore[2],₹11.74 crore[2]
I Am 24,https://wikipedia.org/wiki/I_Am_24,,,,,,,
Banjo,https://wikipedia.org/wiki/Banjo_(2016_film),Ravi Jadhav,Krishika Lulla,Kapil SawantNikhil MehrotraRavi Jadhav,Riteish DeshmukhNargis Fakhri,Songs:Vishal–ShekharBackground Score:Sourav Roy,,est. ₹13.24 crore[1]
The Train: Some Lines Should Never Be Crossed...,https://wikipedia.org/wiki/The_Train_(2007_film),Hasnain Hyderabadwala Raksha Mistry,Narendra BajajShyam Bajaj,,Emraan HashmiGeeta BasraSayali BhagatAditi Bhatia,Mithoon,,
Suryavanshi,https://wikipedia.org/wiki/Suryavanshi_(1992_film),,,,,,,
Suhaag,https://wikipedia.org/wiki/Suhaag_(1979_film),Manmohan Desai,Rajinder Kumar SharmaRamesh SharmaShakti Subhash SharmaPrakash Trehan,Kader KhanPrayag RajK.K. Shukla,Shashi KapoorAmitabh BachchanRekhaParveen BabiNirupa RoyAmjad KhanKader KhanRanjeetJeevan,Laxmikant–Pyarelal,,
Jodi Breakers,https://wikipedia.org/wiki/Jodi_Breakers,Ashwini Chaudhary,Rajesh Rajilal,,R. Madhavan Bipasha BasuMilind SomanDipannita SharmaOmi VaidyaMrinalini Sharma,Salim–Sulaiman,₹210 million (US$2.5 million),₹334 million (US$4.0 million)[2]
Khoon Bhari Maang,https://wikipedia.org/wiki/Khoon_Bhari_Maang,Rakesh Roshan,Rakesh Roshan,"Mohan Kaul
Ravi Kapoor","Rekha
Kabir Bedi
Sonu Walia
Shatrughan Sinha
Kader Khan",Rajesh Roshan,,₹6 crore[1]
I See You,https://wikipedia.org/wiki/I_See_You_(2006_film),Vivek Agrawal,Mehr Jesia,"Niranjan Iyengar (dialogue)
Vivek Agrawal (story)","Arjun Rampal
Vipasha Agarwal",Vishal–Shekhar,₹80 million[1],₹19.2 million[1]
Kya Meri Sonam Gupta Bewafa Hai,https://wikipedia.org/wiki/Kya_Meri_Sonam_Gupta_Bewafa_Hai,,,,,,,
...Yahaan,https://wikipedia.org/wiki/Yahaan_(film),,,,,,,
Raakh,https://wikipedia.org/wiki/Raakh_(film),,,,,,,
Blank,https://wikipedia.org/wiki/Blank_(2019_film),Behzad Khambata,Shrikant BhasiNishant Pitti& PicturesTony D'SouzaVishal Rana,Screenplay:Pranav AdarshBehzad KhambataDialogues:Radhika AnandPranav AdarshBehzad Khambata,Sunny DeolKaran KapadiaKaranvir SharmaIshita Dutta,Raghav SacharArko Pravo MukherjeeSonal Pradhaan,,est. ₹5.15 crore[2]
Armaan,https://wikipedia.org/wiki/Armaan_(1997_film),,,,,,,
Happy Hardy and Heer,https://wikipedia.org/wiki/Happy_Hardy_and_Heer,Raka,Deepshikha DeshmukhSabita Manakchand,Sonia Kapoor,Himesh Reshammiya  Sonia Mann,Himesh Reshammiya,,
Shola Aur Shabnam,https://wikipedia.org/wiki/Shola_Aur_Shabnam,,,,,,,
Parampara,https://wikipedia.org/wiki/Parampara_(film),,,,,,,
Shikhar,https://wikipedia.org/wiki/Shikhar_(2005_film),John Matthew Matthan,John Matthew Matthan,Abbas TyrewalaJohn Matthew Matthan,Ajay DevgnBipasha BasuShahid KapoorAmrita Rao,Viju Shah,₹14 crore[a][1],₹10.3 crore[1]
Daud: Fun on the Run,https://wikipedia.org/wiki/Daud:_Fun_on_the_Run,Ram Gopal Varma,Ram Gopal VarmaJhamu Sughand,Kanan Ayar Sanjay ChhelRam Gopal Varma,Sanjay DuttUrmila MatondkarParesh RawalManoj Bajpayee,A. R. Rahman,₹77.5 million[1],₹147.9 million[1]
Patna Shukla,https://wikipedia.org/wiki/Patna_Shukla,,,,,,,
Aakrosh,https://wikipedia.org/wiki/Aakrosh_(1980_film),Govind Nihalani,Devi DuttNFDC,Vijay Tendulkar,Naseeruddin ShahSmita PatilAmrish PuriOm Puri,Ajit Varman,₹0.80 crore (equivalent to ₹19 crore or US$2.2 million in 2023),₹1.22 crore (equivalent to ₹28 crore or US$3.4 million in 2023)
Ittefaq,https://wikipedia.org/wiki/Ittefaq_(1969_film),Yash Chopra,B. R. Chopra,G.R. Kamath (story & screenplay) Akhtar-Ul-Iman (dialogues),NandaRajesh Khanna,Salil Chowdhury,,₹30 crore (equivalent to ₹16 billion or US$190 million in 2023)[1]
Paltan,https://wikipedia.org/wiki/Paltan_(2018_film),J.P. Dutta,J.P. Dutta,,Jackie ShroffArjun RampalSonu SoodGurmeet ChoudharyHarshvardhan RaneSiddhanth KapoorLuv SinhaEsha GuptaSonal ChauhanMonica GillDipika Kakar,Songs:Anu MalikBackground Score:Sanjoy Chowdhury,₹35 crore[1][a],est. ₹10.22 crore[2]
Nagina,https://wikipedia.org/wiki/Nagina,,,,,,,
Koi Jaane Na,https://wikipedia.org/wiki/Koi_Jaane_Na,Amin Hajee,Bhushan KumarKrishan KumarAmin Hajee,Amin Hajee,Kunal KapoorAmyra Dastur,Tanishk BagchiAmaal MallikRochak KohliVikram Negi,,
Unlock Zindagi,https://wikipedia.org/wiki/Unlock_Zindagi,,,,,,,
Awwal Number,https://wikipedia.org/wiki/Awwal_Number,Dev Anand,Dev Anand,Dev Anand,Dev AnandAamir KhanEkta SohiniAditya PancholiNeeta Puri,Bappi Lahiri,,
Chippa,https://wikipedia.org/wiki/Chippa,,,,,,,
Once Again,https://wikipedia.org/wiki/Once_Again_(2014_film),,,,,,,
Auzaar,https://wikipedia.org/wiki/Auzaar,Sohail Khan,Kumar S. TauraniRamesh Taurani,Anwar Khan,Salman Khan Sanjay Kapoor Shilpa Shetty,Anu Malik,₹5.25 crore[1],₹10.37 crore[1]
Blood Money,https://wikipedia.org/wiki/Blood_Money_(2012_film),Vishal Mahadkar,Mukesh Bhatt,,"Kunal Khemu
Amrita Puri
Manish Chaudhari",Jeet GannguliPranay Rijia Sangeet Haldipur-Siddharth Haldipur,₹90 million,₹120 million
Maharathi,https://wikipedia.org/wiki/Maharathi,,,,,,,
Jaagruti,https://wikipedia.org/wiki/Jaagruti,Suresh Krishna,S R Shetty,Anwar Khan,Salman KhanKarisma Kapoor,Anand–MilindSameer (lyrics),,
Naram Garam,https://wikipedia.org/wiki/Naram_Garam,Hrishikesh Mukherjee,,,Amol PalekarSwaroop SampatShatrughan SinhaUtpal DuttA. K. Hangal,R. D. Burman,,
P Se Pyaar F Se Faraar,https://wikipedia.org/wiki/P_Se_Pyaar_F_Se_Faraar,Manoj Tiwari,Jogender Singh,Vishal Vijay Kumar,Bhavesh KumarJimmy SheirgillKumud MishraSanjay MishraGirish KulkarniZakir HussainAkhilendra Mishra,Ripul SharmaSanjiv – AjayScore: Dharma Vish,,
Operation Mayfair,https://wikipedia.org/wiki/Operation_Mayfair,,,,,,,
100 Days,https://wikipedia.org/wiki/100_Days_(1991_film),Partho Ghosh,Jay Mehta,Bhushan Banmali (dialogue)Devjyoti Roy (screenplay),Jackie ShroffMadhuri DixitMoon Moon SenJaved Jaffrey,Raamlaxman,"₹0.95 crore (equivalent to ₹8.2 crore or US$980,000 in 2023)",₹8.9 crore (equivalent to ₹77 crore or US$9.2 million in 2023)
Main Aisa Hi Hoon,https://wikipedia.org/wiki/Main_Aisa_Hi_Hoon,Harry Baweja,Pammi Baweja,Harry Baweja Bhavani Iyer Anurag Kashyap,Ajay Devgn Susmita Sen Esha Deol Anupam Kher Rucha Vaidya,Himesh Reshammiya,₹9.5 crore[2],₹6.58 crore[2]
Religion,https://wikipedia.org/wiki/Religion_(2013_film),,,,,,,
Guddi,https://wikipedia.org/wiki/Guddi_(film),,,,,,,
Naam,https://wikipedia.org/wiki/Naam_(1986_film),Mahesh Bhatt,Kumar Gaurav,Salim Khan,NutanKumar GauravSanjay DuttPoonam DhillonAmrita SinghParesh Rawal,Laxmikant Pyarelal,,
Khamosh,https://wikipedia.org/wiki/Khamosh_(film),,,,,,,
Kati Patang,https://wikipedia.org/wiki/Kati_Patang,Shakti Samanta,Shakti Samanta,Vrajendra GaurGulshan Nanda,Asha ParekhRajesh KhannaPrem ChopraBinduNazir Hussain,Rahul Dev Burman,,₹3.80 crore (equivalent to ₹182 crore or US$22 million in 2023)[2]
Liar's Dice,https://wikipedia.org/wiki/Liar%27s_Dice,,,,,,,
Dilwaala,https://wikipedia.org/wiki/Dilwaala,K. Murali Mohana Rao,D. Rama NaiduT. Subbarami Reddy,Paruchuri Brothers,Mithun ChakrabortyMeenakshi SheshadriSmita Patil,Bappi Lahiri,,
Fugly,https://wikipedia.org/wiki/Fugly,,,,,,,
Aetbaar,https://wikipedia.org/wiki/Aetbaar,Vikram Bhatt,Ratan TataJatin KumarKhushroo BhadhaMandeep Singh,Girish Dhamija (Dialogues),Amitabh BachchanJohn AbrahamBipasha BasuSupriya Pilgaonkar,Rajesh Roshan,,
Akhiyon Se Goli Maare,https://wikipedia.org/wiki/Akhiyon_Se_Goli_Maare,Harmesh Malhotra,Harmesh Malhotra,Anwar Khan (Dialogues),GovindaRaveena Tandon,Songs:Anand–MilindDaboo MalikDilip Sen-Sameer SenBackground Score:Sanjoy Chowdhury,,
Kasoor,https://wikipedia.org/wiki/Kasoor_(2001_film),Vikram Bhatt,Mukesh Bhatt,Mahesh BhattGirish Dhamija,Aftab ShivdasaniLisa RayDivya DuttaApurva AgnihotriIrrfan KhanAshutosh RanaPushkar Dwivedi,Nadeem-Shravan,"₹3 crore (US$360,000)[2]",₹14.1 crore (US$1.7 million)[3]
Satyam Shivam Sundaram: Love Sublime,https://wikipedia.org/wiki/Satyam_Sshivam_Sundaram,,,,,,,
Michael,https://wikipedia.org/wiki/Michael_(2008_film),,,,,,,
Depth of Pyaar,https://wikipedia.org/wiki/Depth_of_Pyaar,,,,,,,
Shudra the Rising,https://wikipedia.org/wiki/Shudra_the_Rising,,,,,,,
Aanchhi,https://wikipedia.org/wiki/Aanchhi,,,,,,,
Shaapit: The Cursed,https://wikipedia.org/wiki/Shaapit,Vikram Bhatt,Vikram BhattManmohan D Singh,,Aditya NarayanRahul DevShweta AgarwalShubh JoshiMurli SharmaNishigandha Wad,Chirantan BhattNajam SherazAditya Narayan,,
Kurukshetra,https://wikipedia.org/wiki/Kurukshetra_(2000_film),Mahesh Manjrekar,Pravin Shah,Mahesh Manjrekar,Sanjay DuttMahima ChaudhryOm PuriMukesh RishiShivaji Satam,Score:Amar HaldipurSongs:Himesh ReshammiyaSukhwinder Singh,,
Harami,https://wikipedia.org/wiki/Harami_(2020_film),,,,,,,
Muskurahatein,https://wikipedia.org/wiki/Muskurahatein,,,,,,,
Juni the Last Prayer,https://wikipedia.org/wiki/Juni_the_Last_Prayer,,,,,,,
Ram Teri Ganga Maili,https://wikipedia.org/wiki/Ram_Teri_Ganga_Maili,Raj Kapoor,Randhir Kapoor,Raj KapoorV. P. SatheK. K. SinghJyoti Swaroop,Rajiv KapoorMandakini,Ravindra Jain,₹1.44 crore,est. ₹19 crores (equivalent to ₹326 crore (US$46 million) in 2016)
Department,https://wikipedia.org/wiki/Department_(film),Ram Gopal Varma,Siddhant UberoiAmit Sharma,Nilesh Girkar,Amitabh BachchanSanjay DuttRana DaggubatiVijay RaazAbhimanyu SinghDeepak TijoriLakshmi ManchuAnjana SukhaniMadhu Shalini,Bappa LahiriDharam-SandeepVikram Magi,₹320 million (US$3.8 million)[2],₹190.5 million (US$2.3 million)[3]
Hera Pheri,https://wikipedia.org/wiki/Hera_Pheri,,,,,,,
La Vaste,https://wikipedia.org/wiki/La_Vaste,,,,,,,
Arjun,https://wikipedia.org/wiki/Arjun_(1985_film),Rahul Rawail,Karim MoraniSunil Soorma,Javed Akhtar,Sunny DeolDimple KapadiaRaj KiranPrem ChopraAnupam Kher,R. D. Burman,₹1.5 crore[1],₹8.5 crore[2]
Bypass Road,https://wikipedia.org/wiki/Bypass_Road,,,,,,,
"I Am Alone, So Are You...","https://wikipedia.org/wiki/I_Am_Alone,_So_Are_You...",,,,,,,
Kahani Rubberband Ki,https://wikipedia.org/wiki/Kahani_Rubberband_Ki,Sarika Sanjot,Sarika Sanjot,Sarika Sanjot,"Pratik Gandhi
Avika Gor
Manish Raisinghan
Gaurav Gera","Meet Bros
Anup Bhat",,
Dostana,https://wikipedia.org/wiki/Dostana_(2008_film),Tarun Mansukhani,"Hiroo Yash Johar
Karan Johar",Story and Screenplay:Tarun MansukhaniDialogues:Anvita Dutt Guptan,"Abhishek Bachchan
John Abraham
Priyanka Chopra",Songs:Vishal–ShekharScore:Salim–Sulaiman,₹40 crore[2],₹87.15 crore[2]
Shatranj,https://wikipedia.org/wiki/Shatranj_(film),Aziz Sejawal,Arun S Thakur,Kader Khan (Dialogues),Mithun ChakrabortyJackie ShroffJuhi ChawlaDivya BhartiKader Khan,Anand–MilindSameer Anjaan (lyrics),,
Love Breakups Zindagi,https://wikipedia.org/wiki/Love_Breakups_Zindagi,Sahil Sangha,Zayed Khan,,Zayed KhanDia MirzaCyrus SahukarTisca ChopraSatyadeep MishraAuritra GhoshPallavi Sharda,"Soundtracks: Salim–Sulaiman
Background Score: Clinton Cerejo",₹10 crore[1],"₹2,06 crore[1]"
