ID,Movie_Name,URL,Director,Producer,Writer,Casting,Budget,Box_Office,Duration,Year,Rating,Rating_count,Genre,Inflated_Box_Office,Inflated_Budget,Performance,Profit
Waqt_(1965_film),Waqt,https://wikipedia.org/wiki/Waqt_(1965_film),Yash Chopra,B. R. Chopra,"Akhtar Mirza, Akhtar Ul Iman","Sunil Dutt, Raaj Kumar, Shashi Kapoor, Sadhana, Sharmila Tagore, Balraj Sahni, Achala Sachdev, Rehman, Madan Puri",0.5,6.0,2h 58m,1965,7.6,1500,Drama,186.72,15.56,Blockbuster,12.0
Badal_(2000_film),Badal,https://wikipedia.org/wiki/Badal_(2000_film),Raj Kanwar,"Salim Akhtar, Shama Akhtar",,"Bobby Deol, Rani Mukerji, Amrish Puri",10.0,27.0,2h 46m,2000,5.0,1500,Action,109.32,40.49,Superhit,2.7
Ab_Tak_Chhappan_2,Ab Tak Chhappan 2,https://wikipedia.org/wiki/Ab_Tak_Chhappan_2,Aejaz Gulab,"Raju Chada, Gopal Dalvi",Nilesh Girkar,"Nana Patekar, Ashutosh Rana, Vikram Gokhale, Gul Panag",16.5,7.0,1h 46m,2015,5.8,1500,Action,11.83,27.88,Flop,0.42424242424242425
Tu_Chor_Main_Sipahi,Tu Chor Main Sipahi,https://wikipedia.org/wiki/Tu_Chor_Main_Sipahi,Guddu Dhanoa,Namrata Dehal,"Robin Henry, Rumi Jaffery","Akshay Kumar, Saif Ali Khan, Tabu, Pratibha Sinha",4.25,11.0,2h 33m,1996,5.1,1500,Action,56.23,21.72,Superhit,2.588235294117647
Vishwatma,Vishwatma,https://wikipedia.org/wiki/Vishwatma,Rajiv Rai,Gulshan Rai,,"Sunny Deol, Naseeruddin Shah, Chunky Pandey, Sonam, Divya Bharti, Jyotsna Singh, Amrish Puri",2.0,10.0,2h 54m,1992,6.5,1500,Action,64.53,12.91,Blockbuster,5.0
Hamare_Baarah,Hamare Baarah,https://wikipedia.org/wiki/Hamare_Baarah,Kamal Chandra,"Ravi S. Gupta, Birendra Bhagat, Sanjay Nagpal, Sheo Balak Singh",,"Annu Kapoor, Parth Samthaan, Rahul Bagga, Manoj Joshi, Ashwini Kalsekar, Shaan Saxena",10.0,11.0,2h 28m,2024,7.4,1500,Drama,11.0,10.0,Average,1.1
Khamoshiyan,Khamoshiyan,https://wikipedia.org/wiki/Khamoshiyan,Karan Darra,"Mahesh Bhatt, Mukesh Bhatt",Vikram Bhatt,"Ali Fazal, Sapna Pabbi, Gurmeet Choudhary",10.0,20.0,2h 2m,2015,4.0,1500,Horror,33.79,16.89,Superhit,2.0
Sanam_Bewafa,Sanam Bewafa,https://wikipedia.org/wiki/Sanam_Bewafa,Saawan Kumar Tak,Saawan Kumar Tak,"Bharat B. Bhalla, Anwar Khan, Saawan Kumar Tak","Salman Khan, Chandni, Pran, Danny Denzongpa",0.9,10.0,2h 40m,1991,5.2,1500,Romance,68.41,6.16,Blockbuster,11.11111111111111
Karam_(film),Karam,https://wikipedia.org/wiki/Karam_(film),Sanjay F. Gupta,Pammi Baweja,,"John Abraham, Priyanka Chopra, Bharat Dabholkar",5.75,8.0,1h 57m,2005,5.8,1500,Action,24.2,17.4,Semihit,1.391304347826087
Happy_Phirr_Bhag_Jayegi,Happy Phirr Bhag Jayegi,https://wikipedia.org/wiki/Happy_Phirr_Bhag_Jayegi,Mudassar Aziz,"Aanand L. Rai, Krishika Lulla, Himanshu Sharma",,"Sonakshi Sinha, Diana Penty, Jimmy Sheirgill, Ali Fazal, Piyush Mishra, Jassi Gill",30.0,28.0,2h 16m,2018,4.5,1500,Comedy,39.72,42.56,Flop,0.9333333333333333
Zid_(2014_film),Zid,https://wikipedia.org/wiki/Zid_(2014_film),Vivek Agnihotri,Anubhav Sinha,"Vivek Agnihotri, Rohit Malhotra","Karanvir Sharma, Mannara Chopra, Shraddha Das, Seerat Kapoor",8.3,14.0,2h 6m,2014,4.5,1500,Thriller,25.07,14.86,Semihit,1.686746987951807
Dhaai_Akshar_Prem_Ke,Dhaai Akshar Prem Ke,https://wikipedia.org/wiki/Dhaai_Akshar_Prem_Ke,Raj Kanwar,"Raj Kanwar, K. Pappu, Amardeep Singh","Raj Kanwar, Jainendra Jain, Ratna Rajaia","Abhishek Bachchan, Aishwarya Rai",9.0,16.0,2h 47m,2000,3.5,1500,Romance,64.78,36.44,Hit,1.7777777777777777
Shaadi_Karke_Phas_Gaya_Yaar,Shaadi Karke Phas Gaya Yaar,https://wikipedia.org/wiki/Shaadi_Karke_Phas_Gaya_Yaar,K. S. Adhiyaman,Bubby Kent,"K.S. Adiyaman, Rumi Jaffery","Salman Khan, Shilpa Shetty",11.0,5.0,2h 32m,2006,4.1,1500,Comedy,14.27,31.4,Flop,0.45454545454545453
Pizza_(2014_film),Pizza,https://wikipedia.org/wiki/Pizza_(2014_film),Akshay Akkineni,"Siddharth Roy Kapur, Bejoy Nambiar","Karthik Subbaraj, Akshay Akkineni","Akshay Oberoi, Parvathy Omanakuttan, Arunoday Singh, Dipannita Sharma",5.0,4.0,1h 47m,2014,6.2,1500,Horror,7.16,8.95,Flop,0.8
Bheja_Fry_2,Bheja Fry 2,https://wikipedia.org/wiki/Bheja_Fry_2,Sagar Ballary,Mukul Deora,,"Vinay Pathak, Kay Kay Menon, Rukhsaar Rehman, Minisha Lamba, Suresh Menon, Amol Gupte, Kishwer Merchant",10.0,36.0,2h 9m,2011,4.7,1500,Comedy,76.79,21.33,Superhit,3.6
One_Night_Stand_(2016_film),One Night Stand,https://wikipedia.org/wiki/One_Night_Stand_(2016_film),Jasmine Moses D'souza,"Furquan Khan, Pradeep Sharma",Niranjan Iyengar,"Sunny Leone, Misbah Ahmed",10.0,4.2,1h 37m,2016,3.1,1500,Drama,6.69,15.94,Flop,0.42000000000000004
Krishna_Cottage,Krishna Cottage,https://wikipedia.org/wiki/Krishna_Cottage,Santram Varma,"Ekta Kapoor, Shobha Kapoor",,"Sohail Khan, Isha Koppikar, Anita Hassanandani",4.0,5.9,2h 4m,2004,5.2,1400,Horror,18.92,12.83,Semihit,1.475
