Movie_Name,Duration,Year,Rating,Rating_count
Bhagam Bhag,2h 37m,2006,6.6,15000
Desi Boyz,2h 2m,2011,5.7,15000
Madaari,2h 13m,2016,7.6,15000
The Girl on the Train,2h,2021,4,15000
Khuda Haafiz: Chapter 2 - Agni Pariksha,2h 24m,2022,7.4,15000
Ramayana: The Legend of Prince Rama,2h 15m,1993,9.2,15000
Munjya,2h 3m,2024,7.2,15000
Vaastav: The Reality,2h 25m,1999,8,15000
Gold,2h 31m,2018,7.3,15000
Jaane Bhi Do Yaaro,2h 12m,1983,8.3,15000
The Ghazi Attack,1h 56m,2017,7.5,15000
Jersey,2h 50m,2022,7.3,15000
Bulbbul,1h 34m,2020,6.6,15000
Ittefaq,1h 45m,2017,7.2,15000
Jaane Jaan,2h 19m,2023,7,14000
Paheli,2h 20m,2005,6.4,14000
Tees Maar Khan,2h 15m,2010,2.7,14000
Yes Boss,2h 43m,1997,6.7,14000
Housefull 4,2h 25m,2019,3.6,14000
Table No.21,1h 48m,2013,7.2,14000
Humpty Sharma Ki Dulhania,2h 13m,2014,6,14000
NH10,1h 55m,2015,7.2,14000
Aankhen,2h 45m,2002,7.4,14000
Hichki,1h 56m,2018,7.5,14000
Brothers,2h 36m,2015,6.4,14000
Baaghi 3,2h 23m,2020,2.2,14000
Karthik Calling Karthik,2h 15m,2010,7.1,14000
Dhobi Ghat,1h 40m,2010,7,14000
Trapped,1h 45m,2016,7.5,14000
Te3n,2h 16m,2016,7.2,14000
Chachi 420,2h 35m,1997,7.4,14000
Sipahi,1h 2m,2024,8.3,14000
Partner,2h 35m,2007,5.8,14000
Wild Wild Punjab,1h 49m,2024,6.6,14000
Badrinath Ki Dulhania,2h 19m,2017,6.1,14000
Gulabo Sitabo,2h 4m,2020,6.3,14000
Savi,2h 6m,2024,8.2,14000
Billu,2h 17m,2009,6.4,14000
Mardaani,1h 53m,2014,7.3,14000
Fukrey,2h 19m,2013,6.9,14000
Luka Chuppi,2h 6m,2019,6.4,13000
Selfiee,2h 28m,2023,5.7,13000
Lust Stories,2h,2018,6.4,13000
Chupke Chupke,2h 26m,1975,8.3,13000
Veere Di Wedding,2h 15m,2018,3.3,13000
Johnny Gaddaar,2h 15m,2007,7.9,13000
Fashion,2h 47m,2008,6.9,13000
When Love Calls,3h 12m,1989,7.3,13000
Chup Chup Ke,2h 44m,2006,7,13000
Sonchiriya,2h 23m,2019,7.9,13000
Life in a Metro,2h 12m,2007,7.4,13000
Ankhon Dekhi,1h 47m,2013,7.9,13000
No Entry,2h 38m,2005,6.6,13000
Mohenjo Daro,2h 35m,2016,5.6,13000
Peepli Live,1h 35m,2010,7.4,13000
Don,2h 55m,1978,7.7,13000
Miss Lovely,1h 53m,2012,7.4,13000
Mr. & Mrs. Mahi,2h 19m,2024,6.5,13000
Khatta Meetha,2h 37m,2010,6,13000
Paa,2h 13m,2009,7.1,13000
Batla House,2h 26m,2019,7.2,13000
Bachna Ae Haseeno,2h 32m,2008,6.2,13000
Kaam Chalu Hai,1h 22m,2024,7.5,13000
Rashmi Rocket,2h 9m,2021,7.2,13000
No One Killed Jessica,2h 16m,2011,7.2,12000
Thank God,2h 1m,2022,5.6,12000
Ghoomer,2h 15m,2023,7.6,12000
New York,2h 33m,2009,6.8,12000
Dhokha - Round D Corner,2h 2m,2022,6.2,12000
Malang,2h 15m,2020,6.5,12000
Ghulam,2h 42m,1998,7.2,12000
Bheja Fry,1h 35m,2007,7.6,12000
Maqbool,2h 12m,2003,8,12000
Dhaakad,2h 15m,2022,3.8,12000
Boss,2h 23m,2013,5.1,12000
Mom,2h 26m,2017,7.2,12000
Blackmail,2h 18m,2018,7.1,12000
Jagga Jasoos,2h 41m,2017,6.4,12000
Ishq,2h 41m,1997,6.8,12000
Deewaar,2h 54m,1975,8,12000
Baaghi 2,2h 17m,2018,4.8,12000
Bheed,2h 4m,2023,6.6,12000
Judwaa 2,2h 25m,2017,3.6,12000
Jaadugar,2h 47m,2022,6.8,12000
Aamir,1h 39m,2008,7.6,12000
Sherni,2h 11m,2021,6.8,12000
Mary Kom,2h 2m,2014,6.8,12000
Bhoothnath,2h 30m,2008,6.4,11000
Dream Girl 2,2h 14m,2023,5.2,11000
Yaariyan 2,2h 28m,2023,5.1,11000
Qayamat Se Qayamat Tak,2h 42m,1988,7.4,11000
MSG: The Messenger of God,3h 17m,2015,5.9,11000
Love Hostel,1h 40m,2022,5.8,11000
Shivaay,2h 33m,2016,6.1,11000
Sharmaji Namkeen,1h 59m,2022,7.5,11000
Kaun Pravin Tambe?,2h 14m,2022,8.3,11000
Shubh Mangal Savdhan,1h 59m,2017,6.9,11000
